Method,Channels,Min,Max,Mean,Median
ACE_numpy,90,1.5571603775024414,1.5571603775024414,1.5571603775024414,1.5571603775024414
ACE_numpy_addition,90,1.5603446960449219,1.5603446960449219,1.5603446960449219,1.5603446960449219
MatchedFilterOptimized,90,0.2558722496032715,0.2558722496032715,0.2558722496032715,0.2558722496032715
MatchedFilterOptimized_addition,90,0.3227548599243164,0.3227548599243164,0.3227548599243164,0.3227548599243164
MatchedFilterOriginal,90,0.5842385292053223,0.5842385292053223,0.5842385292053223,0.5842385292053223
MatchedFilterNumpy,90,0.29880714416503906,0.29880714416503906,0.29880714416503906,0.29880714416503906
MatchedFilterNumpy_addition,90,0.32724547386169434,0.32724547386169434,0.32724547386169434,0.32724547386169434
CEM_optimized,90,0.21798014640808105,0.21798014640808105,0.21798014640808105,0.21798014640808105
CEM_original,90,0.2555062770843506,0.2555062770843506,0.2555062770843506,0.2555062770843506
CEM_numpy,90,0.21095609664916992,0.21095609664916992,0.21095609664916992,0.21095609664916992
mag1c_SAS,90,0.3874936103820801,0.3874936103820801,0.3874936103820801,0.3874936103820801
mag1c_tile,90,20.5612952709198,20.5612952709198,20.5612952709198,20.5612952709198
Morphological_Baseline,90,0.1148686408996582,0.1148686408996582,0.1148686408996582,0.1148686408996582
Original,100,14.753275394439697,14.753275394439697,14.753275394439697,14.753275394439697
Tile-wise,100,13.58906602859497,13.58906602859497,13.58906602859497,13.58906602859497
Tile-wise and Sampled,100,0.1637265682220459,0.1637265682220459,0.1637265682220459,0.1637265682220459
ACE_optimized,100,0.8636314868927002,0.8636314868927002,0.8636314868927002,0.8636314868927002
ACE_optimized_addition,100,0.7729811668395996,0.7729811668395996,0.7729811668395996,0.7729811668395996
ACE_original,100,2.2348248958587646,2.2348248958587646,2.2348248958587646,2.2348248958587646
ACE_numpy,100,1.7052395343780518,1.7052395343780518,1.7052395343780518,1.7052395343780518
ACE_numpy_addition,100,1.734426736831665,1.734426736831665,1.734426736831665,1.734426736831665
MatchedFilterOptimized,100,0.28852033615112305,0.28852033615112305,0.28852033615112305,0.28852033615112305
MatchedFilterOptimized_addition,100,0.3540151119232178,0.3540151119232178,0.3540151119232178,0.3540151119232178
MatchedFilterOriginal,100,0.6104440689086914,0.6104440689086914,0.6104440689086914,0.6104440689086914
MatchedFilterNumpy,100,0.35488152503967285,0.35488152503967285,0.35488152503967285,0.35488152503967285
MatchedFilterNumpy_addition,100,0.3580000400543213,0.3580000400543213,0.3580000400543213,0.3580000400543213
CEM_optimized,100,0.23729276657104492,0.23729276657104492,0.23729276657104492,0.23729276657104492
CEM_original,100,0.25729823112487793,0.25729823112487793,0.25729823112487793,0.25729823112487793
CEM_numpy,100,0.24274015426635742,0.24274015426635742,0.24274015426635742,0.24274015426635742
mag1c_SAS,100,0.43215274810791016,0.43215274810791016,0.43215274810791016,0.43215274810791016
mag1c_tile,100,23.330845594406128,23.330845594406128,23.330845594406128,23.330845594406128
Morphological_Baseline,100,0.13557219505310059,0.13557219505310059,0.13557219505310059,0.13557219505310059
Original,110,16.258700132369995,16.258700132369995,16.258700132369995,16.258700132369995
Tile-wise,110,15.015047073364258,15.015047073364258,15.015047073364258,15.015047073364258
