METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
MF,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.01317219694791869,0.04030647128820419,0.055934627212144365,0.07844105801436947,0.026750797405838966,0.1408459193972053,0.0043044816501467955,0.041869089007377625,0.02175529932405577,71121185,8316841,122606,67803,0.35609136122767304,0.008086568732077354,0.0158140130445841,0.007970025566428634,0,175,0,167,1.0,5556382,656023,98138,54047,0.3551401255051418,0.07611503091244526,0.1253619868832306,0.06687263674697602,26359115,3084182,24468,13756,0.3598786102971955,0.004440372919019038,0.008772506012125649,0.0044055769813406715
ACE,0.03,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.0030476894244276555,0.5699087381362915,0.010021210352808533,0.03039827602391468,0.3115848898887634,0.058935676988571904,0.0016482720705805888,0.6242155432701111,0.005564468855627087,51906771,27531255,108564,81845,0.42983787531051576,0.0029639917285636166,0.00588738637270569,0.0029523840993094788,0,175,0,167,1.0,4072257,2140148,87412,64773,0.42562013339028154,0.029376562697711165,0.05495976846183413,0.028256365894483916,19372842,10070455,21152,17072,0.44663038928421933,0.0016923870439206755,0.003371996803002563,0.0016888457928083383
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.00837780188306076,3306.218994140625,0.03719906776322637,0.07277364998509395,1861.0538330078125,0.12288979882620966,0.005488196197160834,3250.91357421875,0.024113119435967334,79174020,264006,175015,15394,0.08084701878587672,0.05509663564781675,0.06553301448035265,0.033876522561975285,0,175,0,167,1.0,6193002,19403,140507,11678,0.07673555212405954,0.37572793668157395,0.1274431700369954,0.06805837238035294,29344127,99170,34508,3716,0.09721640853913771,0.03611764477188344,0.05266813124512791,0.027046304787690875
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.007646091356118437,3519.481201171875,0.03352489061194723,0.06713574532307204,1661.031494140625,0.1185969529619279,0.004551335136256267,3433.51171875,0.021422745982709587,78944012,494014,168575,21834,0.11466894947192623,0.042326421736635596,0.06183018363003835,0.031901324181098534,0,175,0,167,1.0,6179234,33171,135412,16773,0.11021454151197556,0.3358361364728496,0.1659633204537696,0.09049073134940332,29257333,185964,33163,5061,0.13240372540812057,0.026493914409108754,0.04415286435273436,0.022574803290095813
CEM,0.004,True,-,-,True,float64,200-2600,35,SELECT-HIGHEST-VARIANCE,0.06596224431076167,0.014788830652832985,0.14407753994445774,0.20119121598165007,0.009378110058605671,0.2595407941347098,0.07787134698905766,0.016126982867717743,0.1707945054588678,78501166,936860,109574,80835,0.4245335041936043,0.07942949508448012,0.13382126042128822,0.07170870484329828,0,175,0,167,1.0,6112327,100078,93258,58927,0.3872063606794362,0.37059840885506745,0.3787203958996112,0.23359351153359786,29080287,363010,16316,21908,0.5731477605692759,0.05691601847666256,0.10354916316508404,0.05460155420527672
MF,0.004,True,-,-,True,float64,200-2600,35,SELECT-HIGHEST-VARIANCE,0.06758699244890494,0.01455188263207674,0.14520558711346937,0.19983836991379056,0.009214429184794426,0.25899908397032767,0.08030451094537475,0.016019288450479507,0.17417481130704535,78488465,949561,109440,80969,0.4252372524407985,0.07857025025957518,0.13263398089503245,0.0710273077361685,0,175,0,167,1.0,6111714,100691,93174,59011,0.38775832046522324,0.36950695670686656,0.37841269434121977,0.23335943308182666,29075087,368210,16266,21958,0.57445583926329,0.05627832113346046,0.10251358568787466,0.05402599191996733
ACE,0.03,True,-,-,True,float64,200-2600,35,SELECT-HIGHEST-VARIANCE,0.04678966895788958,0.27401286363601685,0.095289121674206,0.12443359917090031,0.1569879949092865,0.17029124366621873,0.09499643187353658,0.31608033180236816,0.15906645998146068,76237138,3200888,120271,70138,0.3683544370276615,0.0214422019268572,0.040525389036627876,0.020681762759203928,0,175,0,167,1.0,5983953,228452,102997,49188,0.3232118802772941,0.17716467367814437,0.22887454196475313,0.12922548254636307,28290209,1153088,17274,20950,0.5480849727919631,0.017844396859386154,0.03456348545116485,0.017585653464415704
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,35,SELECT-HIGHEST-VARIANCE,0.12670001248883248,1307.6424560546875,0.21295317459123755,0.343100992046665,790.9203491210938,0.37220989445095426,0.09743837391669916,1324.498779296875,0.19072354450042936,79119506,318520,117166,73243,0.38466143932272107,0.18695742068546545,0.25161979621142894,0.1439159489830605,0,175,0,167,1.0,6185633,26772,97974,54211,0.35621776127739263,0.6694120988355581,0.46499519659644545,0.3029275189011886,29329733,113564,19192,19032,0.49790707408957724,0.14353374159099822,0.22283105022831054,0.12538540596094552
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,35,SELECT-HIGHEST-VARIANCE,0.11609859561391783,1342.4111328125,0.20656728212318926,0.3319155938263476,815.97802734375,0.36674359970887443,0.10143853409080159,1391.622802734375,0.1973744935657319,79001623,436403,104594,85815,0.45068773009679164,0.16432792435343094,0.2408412816241877,0.13690707899657314,0,175,0,167,1.0,6176867,35538,88400,63785,0.4191280349574531,0.6421976782819689,0.5072204462681108,0.3397825519515456,29281944,161353,16194,22030,0.5763394725826706,0.12013109175877808,0.19882043437256045,0.11038346102005742
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.025545883601243633,0.046181242913007736,0.07465619853219115,0.11486507665107366,0.028739124536514282,0.17393126814153814,0.00520953553333111,0.05165192484855652,0.02150088941607213,69939881,9498145,96260,94149,0.49445666959019796,0.009815066135379087,0.019248054448755113,0.009717549182261873,0,175,0,167,1.0,5351191,861214,75167,77018,0.5060814140684036,0.08208843868041167,0.14126338822670592,0.07599968028387634,25840119,3603178,21093,17131,0.44817392214315616,0.004731916529776878,0.009364955844323394,0.0047045066707822976
