id,action_name,marker,timestamp
EMIT_L1B_RAD_001_20240522T145641_2414310_015,tile_image,START,1774368587.8539488
EMIT_L1B_RAD_001_20240522T145641_2414310_015,tile_image,END,1774368587.8947484
EMIT_L1B_RAD_001_20240522T145641_2414310_015,inference_tiles,START,1774368587.8947563
EMIT_L1B_RAD_001_20240522T145641_2414310_015,inference_tiles,END,1774368591.715131
EMIT_L1B_RAD_001_20240522T145641_2414310_015,post_tiles,START,1774368591.7151737
EMIT_L1B_RAD_001_20240522T145641_2414310_015,post_tiles,END,1774368591.8558948
EMIT_L1B_RAD_001_20240522T145641_2414310_015,stitch_tiles,START,1774368591.855905
EMIT_L1B_RAD_001_20240522T145641_2414310_015,stitch_tiles,END,1774368591.8708193
EMIT_L1B_RAD_001_20240522T145641_2414310_015,create_out_dir,START,1774368591.870832
EMIT_L1B_RAD_001_20240522T145641_2414310_015,create_out_dir,END,1774368591.871395
EMIT_L1B_RAD_001_20240522T145641_2414310_015,save_inference,START,1774368591.8713984
EMIT_L1B_RAD_001_20240522T145641_2414310_015,save_inference,END,1774368591.9133835
EMIT_L1B_RAD_001_20230428T055536_2311804_004,load_scene,START,1774368591.9134085
EMIT_L1B_RAD_001_20230428T055536_2311804_004,load_scene,END,1774368597.558471
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_prep,START,1774368597.5586462
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_prep,END,1774368598.9056559
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_compute,START,1774368598.9056659
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_compute,END,1774368606.826699
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_post,START,1774368606.8267143
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_post,END,1774368606.8483748
EMIT_L1B_RAD_001_20230428T055536_2311804_004,normalize,START,1774368606.8483868
EMIT_L1B_RAD_001_20230428T055536_2311804_004,normalize,END,1774368606.9231348
EMIT_L1B_RAD_001_20230428T055536_2311804_004,tile_image,START,1774368606.9231484
EMIT_L1B_RAD_001_20230428T055536_2311804_004,tile_image,END,1774368606.963426
EMIT_L1B_RAD_001_20230428T055536_2311804_004,inference_tiles,START,1774368606.9634657
EMIT_L1B_RAD_001_20230428T055536_2311804_004,inference_tiles,END,1774368610.7795053
EMIT_L1B_RAD_001_20230428T055536_2311804_004,post_tiles,START,1774368610.7795148
EMIT_L1B_RAD_001_20230428T055536_2311804_004,post_tiles,END,1774368610.9214468
EMIT_L1B_RAD_001_20230428T055536_2311804_004,stitch_tiles,START,1774368610.9214673
EMIT_L1B_RAD_001_20230428T055536_2311804_004,stitch_tiles,END,1774368610.9357445
EMIT_L1B_RAD_001_20230428T055536_2311804_004,create_out_dir,START,1774368610.935759
EMIT_L1B_RAD_001_20230428T055536_2311804_004,create_out_dir,END,1774368610.9364216
EMIT_L1B_RAD_001_20230428T055536_2311804_004,save_inference,START,1774368610.936425
EMIT_L1B_RAD_001_20230428T055536_2311804_004,save_inference,END,1774368610.9792871
EMIT_L1B_RAD_001_20240130T051752_2403004_008,load_scene,START,1774368610.979313
EMIT_L1B_RAD_001_20240130T051752_2403004_008,load_scene,END,1774368616.5898428
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_prep,START,1774368616.5900514
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_prep,END,1774368617.938759
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_compute,START,1774368617.9387693
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_compute,END,1774368625.8856862
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_post,START,1774368625.8857014
EMIT_L1B_RAD_001_20240130T051752_2403004_008,mag1c_post,END,1774368625.907359
EMIT_L1B_RAD_001_20240130T051752_2403004_008,normalize,START,1774368625.9073718
EMIT_L1B_RAD_001_20240130T051752_2403004_008,normalize,END,1774368625.995519
EMIT_L1B_RAD_001_20240130T051752_2403004_008,tile_image,START,1774368625.9955323
EMIT_L1B_RAD_001_20240130T051752_2403004_008,tile_image,END,1774368626.0363624
EMIT_L1B_RAD_001_20240130T051752_2403004_008,inference_tiles,START,1774368626.0363705
EMIT_L1B_RAD_001_20240130T051752_2403004_008,inference_tiles,END,1774368629.8984494
EMIT_L1B_RAD_001_20240130T051752_2403004_008,post_tiles,START,1774368629.898459
EMIT_L1B_RAD_001_20240130T051752_2403004_008,post_tiles,END,1774368630.0378811
EMIT_L1B_RAD_001_20240130T051752_2403004_008,stitch_tiles,START,1774368630.0378919
EMIT_L1B_RAD_001_20240130T051752_2403004_008,stitch_tiles,END,1774368630.0525851
EMIT_L1B_RAD_001_20240130T051752_2403004_008,create_out_dir,START,1774368630.0526
EMIT_L1B_RAD_001_20240130T051752_2403004_008,create_out_dir,END,1774368630.053271
EMIT_L1B_RAD_001_20240130T051752_2403004_008,save_inference,START,1774368630.0532742
EMIT_L1B_RAD_001_20240130T051752_2403004_008,save_inference,END,1774368630.0959125
EMIT_L1B_RAD_001_20240122T032753_2402202_016,load_scene,START,1774368630.095992
EMIT_L1B_RAD_001_20240122T032753_2402202_016,load_scene,END,1774368635.670077
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_prep,START,1774368635.670327
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_prep,END,1774368637.0352936
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_compute,START,1774368637.0353014
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_compute,END,1774368644.9891937
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_post,START,1774368644.9892063
EMIT_L1B_RAD_001_20240122T032753_2402202_016,mag1c_post,END,1774368645.0123868
EMIT_L1B_RAD_001_20240122T032753_2402202_016,normalize,START,1774368645.0123997
EMIT_L1B_RAD_001_20240122T032753_2402202_016,normalize,END,1774368645.089495
EMIT_L1B_RAD_001_20240122T032753_2402202_016,tile_image,START,1774368645.089509
EMIT_L1B_RAD_001_20240122T032753_2402202_016,tile_image,END,1774368645.1336286
EMIT_L1B_RAD_001_20240122T032753_2402202_016,inference_tiles,START,1774368645.1336355
EMIT_L1B_RAD_001_20240122T032753_2402202_016,inference_tiles,END,1774368648.8862066
EMIT_L1B_RAD_001_20240122T032753_2402202_016,post_tiles,START,1774368648.8862169
EMIT_L1B_RAD_001_20240122T032753_2402202_016,post_tiles,END,1774368649.0261338
EMIT_L1B_RAD_001_20240122T032753_2402202_016,stitch_tiles,START,1774368649.0261443
EMIT_L1B_RAD_001_20240122T032753_2402202_016,stitch_tiles,END,1774368649.0403042
EMIT_L1B_RAD_001_20240122T032753_2402202_016,create_out_dir,START,1774368649.0403185
EMIT_L1B_RAD_001_20240122T032753_2402202_016,create_out_dir,END,1774368649.040981
EMIT_L1B_RAD_001_20240122T032753_2402202_016,save_inference,START,1774368649.0409846
EMIT_L1B_RAD_001_20240122T032753_2402202_016,save_inference,END,1774368649.0827837
EMIT_L1B_RAD_001_20240413T202031_2410413_043,load_scene,START,1774368649.0828028
EMIT_L1B_RAD_001_20240413T202031_2410413_043,load_scene,END,1774368654.5992687
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_prep,START,1774368654.5995545
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_prep,END,1774368655.883691
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_compute,START,1774368655.8837004
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_compute,END,1774368663.3264542
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_post,START,1774368663.3264709
EMIT_L1B_RAD_001_20240413T202031_2410413_043,mag1c_post,END,1774368663.3490639
EMIT_L1B_RAD_001_20240413T202031_2410413_043,normalize,START,1774368663.3490775
EMIT_L1B_RAD_001_20240413T202031_2410413_043,normalize,END,1774368663.4348965
EMIT_L1B_RAD_001_20240413T202031_2410413_043,tile_image,START,1774368663.4349275
EMIT_L1B_RAD_001_20240413T202031_2410413_043,tile_image,END,1774368663.489502
EMIT_L1B_RAD_001_20240413T202031_2410413_043,inference_tiles,START,1774368663.4895098
